Sat 101: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 102: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 179: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 236: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 237: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 238: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 180: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 181: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 182: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 183: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 184: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 185: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 103: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 239: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 240: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 241: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 242: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 243: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 186: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 187: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 188: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 20: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 21: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 244: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 104: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 105: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 106: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 245: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 189: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 190: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 191: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 192: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 22: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 23: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 24: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 25: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 193: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 194: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 107: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 195: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 196: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 197: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 26: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 246: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 247: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 198: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 199: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 200: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 27: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 108: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 28: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 29: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 248: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 249: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 250: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 30: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 31: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 32: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 201: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 202: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 203: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 204: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 205: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 206: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 109: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 110: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 111: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 112: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 207: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 208: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 209: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 210: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 211: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 33: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 212: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 213: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 251: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 34: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 113: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 35: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 36: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 37: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 114: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 115: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 252: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 214: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 38: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 215: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 39: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 216: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 217: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 116: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 40: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 41: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 218: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 117: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 253: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 118: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 42: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 43: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 44: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 119: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 219: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 254: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 220: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 221: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 222: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 255: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 256: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 257: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 258: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 259: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 45: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 223: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 46: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 224: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 47: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 48: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 49: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 120: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 260: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 121: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 122: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 123: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 261: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 50: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 51: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 52: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 262: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 53: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 54: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 124: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
